"nomedpto","departamento","pobresextremos","idh"
"Amazonas",1,0.19514406,0.606508928
"Amazonas",1,0.26232831,0.587580993
"Amazonas",1,0.16654483,0.588138126
"Amazonas",1,0.51605644,0.526774753
"Amazonas",1,0.33287221,0.565653861
"Amazonas",1,0.093791545,0.600369351
"Amazonas",1,0.20200753,0.580819095
"Ancash",2,0.038628232,0.604807664
"Ancash",2,0.13820867,0.558564194
"Ancash",2,0.26745942,0.539510909
"Ancash",2,0.065495365,0.528522299
"Ancash",2,0.081800951,0.58366149
"Ancash",2,0.15818994,0.541336457
"Ancash",2,0.14035114,0.522318237
"Ancash",2,0.10004184,0.615978856
"Ancash",2,0.10816366,0.584255252
"Ancash",2,0.10646269,0.554427867
"Ancash",2,0.067922944,0.639887713
"Ancash",2,0.18841788,0.561737352
"Ancash",2,0.22906565,0.521879502
"Ancash",2,0.11677218,0.612444449
"Ancash",2,0.19176284,0.544409215
"Ancash",2,0.22465357,0.541630212
"Ancash",2,0.22663502,0.579355008
"Ancash",2,0.032938382,0.655243249
"Ancash",2,0.16336617,0.542078699
"Ancash",2,0.06457079,0.513808209
"Apurímac",3,0.22664795,0.602510902
"Apurímac",3,0.3965837,0.5659331
"Apurímac",3,0.52798574,0.524474366
"Apurímac",3,0.34600556,0.544555362
"Apurímac",3,0.70147526,0.521615766
"Apurímac",3,0.52317202,0.545341048
"Apurímac",3,0.52906777,0.53541402
"Arequipa",4,0.02783672,0.658841543
"Arequipa",4,0.038624114,0.645785418
"Arequipa",4,0.027897973,0.636337687
"Arequipa",4,0.10092369,0.602471561
"Arequipa",4,0.10479559,0.601870457
"Arequipa",4,0.14059081,0.59583336
"Arequipa",4,0.048962827,0.636669977
"Arequipa",4,0.24785973,0.552572413
"Ayacucho",5,0.233266,0.58424289
"Ayacucho",5,0.34185291,0.537107225
"Ayacucho",5,0.31066125,0.554160562
"Ayacucho",5,0.28843937,0.55109467
"Ayacucho",5,0.40667299,0.536769839
"Ayacucho",5,0.24247657,0.566099433
"Ayacucho",5,0.2127636,0.541663677
"Ayacucho",5,0.24650121,0.582405163
"Ayacucho",5,0.28588006,0.55158622
"Ayacucho",5,0.40630543,0.552362195
"Ayacucho",5,0.37195733,0.531509583
"Cajamarca",6,0.19149164,0.582703704
"Cajamarca",6,0.35420847,0.556269339
"Cajamarca",6,0.3289123,0.531474457
"Cajamarca",6,0.28640456,0.551928244
"Cajamarca",6,0.29793022,0.585841791
"Cajamarca",6,0.25750718,0.5557131
"Cajamarca",6,0.23586254,0.534891108
"Cajamarca",6,0.21907892,0.588256144
"Cajamarca",6,0.19485628,0.563618124
"Cajamarca",6,0.34270876,0.523570894
"Cajamarca",6,0.22017429,0.564617037
"Cajamarca",6,0.26279231,0.526718846
"Cajamarca",6,0.26601244,0.567939362
"Callao",7,0.0059899175,0.680284708
"Cusco",8,0.040700529,0.650954747
"Cusco",8,0.43951574,0.513575119
"Cusco",8,0.24987273,0.568002365
"Cusco",8,0.34811604,0.552107578
"Cusco",8,0.47042451,0.521483549
"Cusco",8,0.2674524,0.56856173
"Cusco",8,0.56312074,0.52533766
"Cusco",8,0.33319311,0.563415986
"Cusco",8,0.14816811,0.577861331
"Cusco",8,0.47730465,0.509618719
"Cusco",8,0.44299864,0.484363494
"Cusco",8,0.30806771,0.521463109
"Cusco",8,0.11325637,0.603492856
"Huancavelica",9,0.40635804,0.543297955
"Huancavelica",9,0.47657467,0.540371087
"Huancavelica",9,0.50400789,0.519587656
"Huancavelica",9,0.36697363,0.563081968
"Huancavelica",9,0.40749309,0.52516178
"Huancavelica",9,0.41546792,0.56412793
"Huancavelica",9,0.40387085,0.539454506
"Huánuco",10,0.26829263,0.583756714
"Huánuco",10,0.37313236,0.55742616
"Huánuco",10,0.47410582,0.540299367
"Huánuco",10,0.50602493,0.539601854
"Huánuco",10,0.43316797,0.559515168
"Huánuco",10,0.15204393,0.597071175
"Huánuco",10,0.46138763,0.526765006
"Huánuco",10,0.52844782,0.50084982
"Huánuco",10,0.23908307,0.570210808
"Huánuco",10,0.33399053,0.575981993
"Huánuco",10,0.51423823,0.54207943
"Ica",11,0.00039768838,0.658314872
"Ica",11,0.0012376314,0.649924324
"Ica",11,0.00044205025,0.654019622
"Ica",11,0.0013864723,0.641858405
"Ica",11,0.00041471198,0.644392872
"Junín",12,0.064061818,0.620869676
"Junín",12,0.21251006,0.580634424
"Junín",12,0.066579071,0.598889498
"Junín",12,0.09975782,0.593927779
"Junín",12,0.12665717,0.569912556
"Junín",12,0.070330886,0.560451335
"Junín",12,0.11248089,0.598495502
"Junín",12,0.047309923,0.643546232
"Junín",12,0.14218341,0.591500095
"La Libertad",13,0.030382469,0.666288582
"La Libertad",13,0.076911173,0.636742723
"La Libertad",13,0.43859686,0.556307917
"La Libertad",13,0.11622791,0.625260777
"La Libertad",13,0.38316661,0.539592089
"La Libertad",13,0.2947911,0.552740947
"La Libertad",13,0.064048116,0.63910423
"La Libertad",13,0.38561779,0.537609348
"La Libertad",13,0.43000089,0.505075935
"La Libertad",13,0.35864626,0.57210279
"La Libertad",13,0.20364877,0.567894541
"La Libertad",13,0.13879139,0.600711255
"Lambayeque",14,0.027299099,0.639234144
"Lambayeque",14,0.15777021,0.5576912
"Lambayeque",14,0.093363862,0.586315928
"Lima",15,0.0084902657,0.684008986
"Lima",15,0.028402308,0.645034797
"Lima",15,0.10447769,0.579641968
"Lima",15,0.085200342,0.612362507
"Lima",15,0.046206699,0.644918182
"Lima",15,0.03622784,0.639460157
"Lima",15,0.069140424,0.60974148
"Lima",15,0.033669783,0.642325203
"Lima",15,0.088423192,0.603956215
"Lima",15,0.1524277,0.584798926
"Loreto",16,0.14564509,0.614692573
"Loreto",16,0.31503008,0.563916384
"Loreto",16,0.37530499,0.55447562
"Loreto",16,0.43771713,0.556996694
"Loreto",16,0.36316365,0.574493649
"Loreto",16,0.29347684,0.57154887
"Loreto",16,0.49161838,0.51602032
"Madre de Dios",17,0.025107429,0.635868748
"Madre de Dios",17,0.028490184,0.600358139
"Madre de Dios",17,0.047543459,0.65400271
"Moquegua",18,0.035199646,0.654327004
"Moquegua",18,0.076129897,0.612684283
"Moquegua",18,0.013155034,0.66800016
"Pasco",19,0.16106921,0.607653275
"Pasco",19,0.3615136,0.563021664
"Pasco",19,0.28339146,0.572005181
"Piura",20,0.0781561,0.617959617
"Piura",20,0.38261073,0.521147793
"Piura",20,0.38419122,0.507301997
"Piura",20,0.15247084,0.569051373
"Piura",20,0.05109519,0.628176778
"Piura",20,0.071376737,0.623485349
"Piura",20,0.029024283,0.641662973
"Piura",20,0.056201559,0.597137806
"Puno",21,0.2046101,0.573500358
"Puno",21,0.31009112,0.527110798
"Puno",21,0.45144361,0.515925678
"Puno",21,0.32094771,0.569090416
"Puno",21,0.35545872,0.562970885
"Puno",21,0.32550461,0.539765784
"Puno",21,0.30649081,0.557058438
"Puno",21,0.32815258,0.547552547
"Puno",21,0.47599115,0.532363735
"Puno",21,0.13562693,0.544111129
"Puno",21,0.11537521,0.6043809
"Puno",21,0.29795861,0.549749506
"Puno",21,0.20181564,0.555956014
"San Martín",22,0.14233422,0.585567436
"San Martín",22,0.12007267,0.571451046
"San Martín",22,0.31745629,0.543946593
"San Martín",22,0.27041305,0.590667825
"San Martín",22,0.27320677,0.56061303
"San Martín",22,0.12736493,0.594577779
"San Martín",22,0.1047504,0.588427096
"San Martín",22,0.13912038,0.590948277
"San Martín",22,0.11091802,0.620029112
"San Martín",22,0.072408242,0.596624442
"Tacna",23,0.011174464,0.652460979
"Tacna",23,0.1306844,0.569151262
"Tacna",23,0.0061857344,0.637849543
"Tacna",23,0.15602584,0.587090294
"Tumbes",24,0.018666557,0.654755735
"Tumbes",24,0.024687481,0.645764081
"Tumbes",24,0.01784582,0.632450222
"Ucayali",25,0.034168149,0.61804467
"Ucayali",25,0.1877956,0.503349301
"Ucayali",25,0.066458145,0.603228108
"Ucayali",25,0.081193649,0.533279265
